ID,NAME,DESCRIPTION,TYPE,FATHER,GPIO,STATE,DEFAULTSTATE
6,"AGRÍCOLA 2","CIRCUITO 2 DE ILUMINAÇÃO DA CELULA AGRÍCOLA","ILUMINAÇÃO",1,6,0,0
8,"LEAD PREP 2","CIRCUITO 2 DE ILUMINAÇÃO DO LEAD PREP","ILUMINAÇÃO",1,13,0,0
